t_step, dpx, dpy, dpz, du, dv, dw, de0, de1, de2, de3, dp, dq, dr
1110, 24.05919806, 0, 10.87929757, -2.875501183, 0, 11.85707349, -0.001973884579, 0, 0.04630435605, 0, 0, 0.001605109161, 0
1140, 24.03377168, 0, 11.17419222, -2.936235053, 0, 11.84763308, -0.002039261219, 0, 0.04632386082, 0, 0, 0.001376255941, 0
1170, 24.00834699, 0, 11.46915693, -2.996892787, 0, 11.83779738, -0.002104580328, 0, 0.04634009343, 0, 0, 0.001180032151, 0
1200, 23.98292419, 0, 11.76419182, -3.057477208, 0, 11.82758833, -0.00216984565, 0, 0.04635350759, 0, 0, 0.001011785552, 0
1230, 23.95750349, 0, 12.059297, -3.117990889, 0, 11.8170247, -0.002235060911, 0, 0.04636449232, 0, 0, 0.0008675272127, 0
1260, 23.9320851, 0, 12.35447257, -3.17843615, 0, 11.80612258, -0.002300229743, 0, 0.04637338118, 0, 0, 0.0007438369362, 0
1290, 23.90666921, 0, 12.64971859, -3.23881506, 0, 11.79489578, -0.002365355635, 0, 0.04638046016, 0, 0, 0.0006377821693, 0
1320, 23.88125602, 0, 12.94503514, -3.299129442, 0, 11.78335612, -0.0024304419, 0, 0.04638597447, 0, 0, 0.0005468484767, 0
1350, 23.85584573, 0, 13.24042226, -3.359380885, 0, 11.77151374, -0.00249549165, 0, 0.04639013437, 0, 0, 0.0004688799262, 0
1380, 23.83043855, 0, 13.53588001, -3.419570754, 0, 11.75937734, -0.002560507785, 0, 0.04639312012, 0, 0, 0.000402027974, 0
1410, 23.80503467, 0, 13.83140841, -3.479700204, 0, 11.74695439, -0.002625492986, 0, 0.04639508629, 0, 0, 0.000344707638, 0
1440, 23.7796343, 0, 14.12700749, -3.539770195, 0, 11.7342513, -0.002690449719, 0, 0.04639616539, 0, 0, 0.0002955599197, 0
1470, 23.75423763, 0, 14.42267728, -3.599781505, 0, 11.72127357, -0.002755380238, 0, 0.04639647107, 0, 0, 0.0002534195838, 0
1500, 23.72884487, 0, 14.71841779, -3.659734745, 0, 11.70802595, -0.002820286591, 0, 0.04639610073, 0, 0, 0.0002172875317, 0
1530, 23.70345621, 0, 15.01422904, -3.719630372, 0, 11.6945125, -0.002885170634, 0, 0.04639513792, 0, 0, 0.0001863071146, 0
1560, 23.67807185, 0, 15.31011104, -3.779468704, 0, 11.68073673, -0.00295003404, 0, 0.04639365426, 0, 0, 0.0001597438228, 0
1590, 23.65269199, 0, 15.60606379, -3.839249931, 0, 11.66670168, -0.00301487831, 0, 0.04639171115, 0, 0, 0.0001369678714, 0
1620, 23.62731684, 0, 15.9020873, -3.898974129, 0, 11.65240996, -0.003079704786, 0, 0.04638936126, 0, 0, 0.0001174392691, 0
1650, 23.60194658, 0, 16.19818155, -3.958641267, 0, 11.63786382, -0.003144514664, 0, 0.04638664971, 0, 0, 0.0001006950155, 0
1680, 23.57658142, 0, 16.49434657, -4.018251222, 0, 11.62306523, -0.003209309006, 0, 0.04638361523, 0, 0, 8.633812373e-05, 0
1710, 23.55122156, 0, 16.79058232, -4.077803788, 0, 11.6080159, -0.003274088751, 0, 0.04638029099, 0, 0, 7.402820856e-05, 0
1740, 23.52586719, 0, 17.08688882, -4.137298679, 0, 11.59271731, -0.003338854724, 0, 0.04637670547, 0, 0, 6.347341621e-05, 0
1770, 23.50051851, 0, 17.38326605, -4.196735546, 0, 11.57717076, -0.003403607649, 0, 0.04637288305, 0, 0, 5.442350482e-05, 0
1800, 23.47517572, 0, 17.679714, -4.256113975, 0, 11.56137738, -0.00346834816, 0, 0.04636884466, 0, 0, 4.66639115e-05, 0
1830, 23.44983902, 0, 17.97623266, -4.315433503, 0, 11.54533818, -0.003533076805, 0, 0.04636460824, 0, 0, 4.001066532e-05, 0
1860, 23.4245086, 0, 18.27282201, -4.374693614, 0, 11.52905405, -0.00359779406, 0, 0.04636018918, 0, 0, 3.430602553e-05, 0
1890, 23.39918467, 0, 18.56948205, -4.433893753, 0, 11.51252576, -0.00366250033, 0, 0.04635560065, 0, 0, 2.941474175e-05, 0
1920, 23.37386742, 0, 18.86621275, -4.493033325, 0, 11.49575404, -0.003727195964, 0, 0.04635085398, 0, 0, 2.522084732e-05, 0
1950, 23.34855704, 0, 19.16301411, -4.552111704, 0, 11.4787395, -0.003791881254, 0, 0.04634595885, 0, 0, 2.162490989e-05, 0
1980, 23.32325375, 0, 19.4598861, -4.611128232, 0, 11.46148273, -0.003856556446, 0, 0.04634092359, 0, 0, 1.854167394e-05, 0
2010, 23.29795772, 0, 19.75682871, -4.670082226, 0, 11.44398423, -0.00392122174, 0, 0.04633575533, 0, 0, 1.589803955e-05, 0
2040, 23.27266917, 0, 20.05384192, -4.728972979, 0, 11.4262445, -0.003985877302, 0, 0.04633046019, 0, 0, 1.36313292e-05, 0
2070, 23.24738828, 0, 20.3509257, -4.787799765, 0, 11.40826397, -0.004050523261, 0, 0.0463250434, 0, 0, 1.168780184e-05, 0
2100, 23.22211526, 0, 20.64808004, -4.84656184, 0, 11.39004306, -0.004115159717, 0, 0.04631950948, 0, 0, 1.002137868e-05, 0
2130, 23.1968503, 0, 20.94530492, -4.905258445, 0, 11.37158214, -0.004179786742, 0, 0.04631386228, 0, 0, 8.592550759e-06, 0
2160, 23.1715936, 0, 21.24260031, -4.963888805, 0, 11.35288159, -0.004244404385, 0, 0.0463081051, 0, 0, 7.367442239e-06, 0
2190, 23.14634535, 0, 21.5399662, -5.022452135, 0, 11.33394174, -0.004309012676, 0, 0.0463022408, 0, 0, 6.317007216e-06, 0
2220, 23.12110575, 0, 21.83740255, -5.080947639, 0, 11.31476292, -0.004373611623, 0, 0.04629627181, 0, 0, 5.416341095e-06, 0
2250, 23.09587501, 0, 22.13490935, -5.139374513, 0, 11.29534547, -0.00443820122, 0, 0.04629020021, 0, 0, 4.644090129e-06, 0
2280, 23.07065331, 0, 22.43248657, -5.197731944, 0, 11.27568967, -0.004502781446, 0, 0.04628402781, 0, 0, 3.981945145e-06, 0
2310, 23.04544085, 0, 22.73013418, -5.256019111, 0, 11.25579584, -0.004567352267, 0, 0.04627775614, 0, 0, 3.414207455e-06, 0
2340, 23.02023783, 0, 23.02785217, -5.314235191, 0, 11.23566426, -0.004631913637, 0, 0.04627138652, 0, 0, 2.927416656e-06, 0
2370, 22.99504444, 0, 23.3256405, -5.372379351, 0, 11.21529523, -0.004696465501, 0, 0.0462649201, 0, 0, 2.510031507e-06, 0
2400, 22.96986088, 0, 23.62349914, -5.430450758, 0, 11.19468902, -0.004761007797, 0, 0.04625835784, 0, 0, 2.152156288e-06, 0
2430, 22.94468735, 0, 23.92142808, -5.488448573, 0, 11.17384592, -0.004825540451, 0, 0.0462517006, 0, 0, 1.845306194e-06, 0
2460, 22.91952405, 0, 24.21942727, -5.546371955, 0, 11.1527662, -0.004890063387, 0, 0.04624494907, 0, 0, 1.582206167e-06, 0
2490, 22.89437116, 0, 24.5174967, -5.604220059, 0, 11.13145016, -0.00495457652, 0, 0.0462381039, 0, 0, 1.356618409e-06, 0
2520, 22.86922889, 0, 24.81563634, -5.661992039, 0, 11.10989805, -0.005019079761, 0, 0.04623116561, 0, 0, 1.163194498e-06, 0
2550, 22.84409743, 0, 25.11384614, -5.719687046, 0, 11.08811016, -0.005083573016, 0, 0.04622413465, 0, 0, 9.973485782e-07, 0
2580, 22.81897698, 0, 25.41212609, -5.777304232, 0, 11.06608677, -0.005148056187, 0, 0.04621701144, 0, 0, 8.551486338e-07, 0
2610, 22.79386773, 0, 25.71047615, -5.834842746, 0, 11.04382815, -0.005212529174, 0, 0.0462097963, 0, 0, 7.3322327e-07, 0
2640, 22.76876987, 0, 26.0088963, -5.892301735, 0, 11.02133458, -0.005276991871, 0, 0.04620248954, 0, 0, 6.286817783e-07, 0
2670, 22.74368361, 0, 26.30738649, -5.949680348, 0, 10.99860635, -0.005341444173, 0, 0.0461950914, 0, 0, 5.390456009e-07, 0
2700, 22.71860914, 0, 26.6059467, -6.006977732, 0, 10.97564373, -0.005405885969, 0, 0.04618760212, 0, 0, 4.621895688e-07, 0
2730, 22.69354666, 0, 26.90457689, -6.064193034, 0, 10.952447, -0.005470317149, 0, 0.04618002188, 0, 0, 3.962915143e-07, 0
2760, 22.66849635, 0, 27.20327703, -6.121325401, 0, 10.92901647, -0.005534737599, 0, 0.04617235084, 0, 0, 3.397890712e-07, 0
2790, 22.64345842, 0, 27.50204709, -6.17837398, 0, 10.9053524, -0.005599147204, 0, 0.04616458916, 0, 0, 2.913426321e-07, 0
2820, 22.61843306, 0, 27.80088703, -6.235337918, 0, 10.88145509, -0.00566354585, 0, 0.04615673696, 0, 0, 2.498035885e-07, 0
2850, 22.59342046, 0, 28.09979681, -6.292216362, 0, 10.85732483, -0.005727933417, 0, 0.04614879436, 0, 0, 2.141870976e-07, 0
2880, 22.56842082, 0, 28.39877641, -6.349008461, 0, 10.83296193, -0.00579230979, 0, 0.04614076144, 0, 0, 1.836487342e-07, 0
2910, 22.54343434, 0, 28.69782577, -6.405713362, 0, 10.80836666, -0.005856674847, 0, 0.04613263829, 0, 0, 1.574644687e-07, 0
2940, 22.5184612, 0, 28.99694488, -6.462330213, 0, 10.78353934, -0.005921028469, 0, 0.046124425, 0, 0, 1.35013503e-07, 0
2970, 22.49350161, 0, 29.29613368, -6.518858165, 0, 10.75848027, -0.005985370537, 0, 0.04611612163, 0, 0, 1.157635508e-07, 0
